Date,Open,High,Low,Close,Adj Close,Volume
9/1/2009,558.190002,592.690002,542.539978,579.969971,579.969971,0
10/1/2009,579.960022,604.080017,559.070007,566.5,566.5,0
11/1/2009,566.5,609.5,562.48999,598.409973,598.409973,0
12/1/2009,598.380005,620.869995,594.219971,612.01001,612.01001,0
1/1/2010,612,631.73999,588.22998,589.409973,589.409973,0
2/1/2010,589.409973,612.059998,573.070007,607.450012,607.450012,0
3/1/2010,607.429993,650.049988,607.429993,643.789978,643.789978,0
4/1/2010,643.77002,673.640015,643.77002,655.059998,655.059998,0
5/1/2010,655.059998,665.130005,573.47998,601.789978,601.789978,0
6/1/2010,601.77002,624.02002,566.130005,567.369995,567.369995,0
7/1/2010,567.330017,617.47998,556,606.090027,606.090027,0
8/1/2010,606.090027,621.380005,571.859985,577.679993,577.679993,0
9/1/2010,577.619995,638.289978,577.619995,629.780029,629.780029,0
10/1/2010,629.76001,660.02002,624.460022,653.570007,653.570007,0
11/1/2010,654.960022,678.02002,648.390015,654.23999,654.23999,0
12/1/2010,656.039978,699.559998,650.820007,696.900024,696.900024,0
1/1/2011,698.830017,722,698.780029,712.969971,712.969971,0
2/1/2011,714.390015,746.059998,714.390015,736.23999,736.23999,0
3/1/2011,736.98999,739.690002,693.76001,737.070007,737.070007,0
4/1/2011,738.559998,759.01001,719.669983,758.450012,758.450012,0
5/1/2011,758.440002,762.359985,729.22998,748.75,748.75,0
6/1/2011,747.75,747.75,698.940002,734.47998,734.47998,0
7/1/2011,734.710022,755.090027,711.599976,717.77002,717.77002,0
8/1/2011,719.97998,726.280029,608.359985,674.789978,674.789978,0
9/1/2011,675.140015,680.5,614.950012,623.450012,623.450012,0
10/1/2011,621.909973,716.859985,590.929993,692.409973,692.409973,0
11/1/2011,687.98999,705.809998,639.809998,688.77002,688.77002,0
12/1/2011,687.820007,700.030029,662.809998,693.359985,693.359985,0
1/1/2012,697.02002,737.76001,696.969971,726.330017,726.330017,0
2/1/2012,727.640015,763.369995,727.640015,756.419983,756.419983,0
3/1/2012,757.549988,785.049988,741.47998,778.919983,778.919983,0
4/1/2012,778.27002,786.679993,750.030029,773.5,773.5,0
5/1/2012,773.320007,783.26001,713.330017,724.119995,724.119995,0
6/1/2012,720.659973,751.429993,698.880005,750.609985,750.609985,0
7/1/2012,751.070007,765.690002,730.159973,758.599976,758.599976,0
8/1/2012,758.48999,785.599976,745.070007,775.070007,775.070007,0
9/1/2012,774.349976,813.549988,769.599976,793.73999,793.73999,0
10/1/2012,795,810.51001,773.960022,779.349976,779.349976,0
11/1/2012,780.809998,792.23999,742.419983,783.369995,783.369995,0
12/1/2012,785.219971,801.099976,773.719971,789.900024,789.900024,0
1/1/2013,791.460022,837.72998,791.460022,831.73999,831.73999,0
2/1/2013,833.650024,850.219971,824.140015,840.969971,840.969971,0
3/1/2013,839.659973,872.679993,833.309998,872.109985,872.109985,0
4/1/2013,872.090027,886.890015,851.900024,886.890015,886.890015,0
5/1/2013,886.380005,935.539978,877.530029,904.440002,904.440002,0
6/1/2013,905.23999,916.590027,863.799988,890.669983,890.669983,0
7/1/2013,893.710022,944.159973,890.349976,937.159973,937.159973,0
8/1/2013,937.090027,951.030029,906.48999,909.280029,909.280029,0
9/1/2013,909.23999,964.409973,909.099976,939.5,939.5,0
10/1/2013,939.830017,989.960022,918.849976,979.679993,979.679993,0
11/1/2013,981.200012,1009.109985,972.340027,1004.969971,1004.969971,0
12/1/2013,1005.669983,1040.48999,985.789978,1030.359985,1030.359985,0
1/1/2014,1028.670044,1077.430054,989.200012,996.47998,996.47998,0
2/1/2014,996.570007,1046.150024,970.789978,1041.359985,1041.359985,0
3/1/2014,1038.51001,1054.51001,1027.280029,1046.420044,1046.420044,0
4/1/2014,1051.069946,1060.22998,1012.140015,1050.199951,1050.199951,0
5/1/2014,1050.930054,1072.25,1037.050049,1071.959961,1071.959961,0
6/1/2014,1072.819946,1098.22998,1067.650024,1094.589966,1094.589966,0
7/1/2014,1096.560059,1109.280029,1075.599976,1075.599976,1075.599976,0
8/1/2014,1074.089966,1118.310059,1061.72998,1117.709961,1117.709961,0
9/1/2014,1118.880005,1124.75,1092.390015,1096.430054,1096.430054,0
10/1/2014,1095.47998,1122.050049,1010.799988,1121.97998,1121.97998,0
11/1/2014,1122.47998,1153.469971,1112.410034,1148.900024,1148.900024,0
12/1/2014,1146.73999,1163.01001,1095.400024,1144.369995,1144.369995,0
1/1/2015,1146.969971,1151.660034,1105.910034,1111.849976,1111.849976,0
2/1/2015,1113.98999,1182.310059,1103.569946,1173.459961,1173.459961,0
3/1/2015,1173.920044,1181.76001,1139.380005,1156.949951,1156.949951,0
4/1/2015,1155.97998,1187.880005,1146.119995,1164.030029,1164.030029,0
5/1/2015,1166.920044,1191.589966,1154.290039,1176.670044,1176.670044,0
6/1/2015,1179.689941,1189.880005,1148.829956,1152.640015,1152.640015,0
7/1/2015,1158.619995,1188.47998,1141.48999,1173.550049,1173.550049,0
8/1/2015,1174.310059,1178.930054,1042.77002,1100.51001,1100.51001,0
9/1/2015,1095.650024,1128.160034,1042.140015,1068.459961,1068.459961,0
10/1/2015,1068.680054,1161.51001,1053.930054,1153.550049,1153.550049,0
11/1/2015,1153.650024,1174.300049,1120.369995,1154.660034,1154.660034,0
12/1/2015,1155.339966,1167.400024,1103.52002,1131.880005,1131.880005,0
1/1/2016,1128.310059,1128.310059,998.659973,1069.780029,1069.780029,0
2/1/2016,1068.109985,1082.089966,995.549988,1066.579956,1066.579956,0
3/1/2016,1067.839966,1145.079956,1067.839966,1138.839966,1138.839966,0
4/1/2016,1138.339966,1168.099976,1124.089966,1143.76001,1143.76001,0
5/1/2016,1144.02002,1164.420044,1120.410034,1160.949951,1160.949951,0
6/1/2016,1160.660034,1175.140015,1101.550049,1161.569946,1161.569946,0
7/1/2016,1161.619995,1206.25,1147.72998,1204.430054,1204.430054,0
8/1/2016,1204.439941,1215.5,1189.199951,1203.050049,1203.050049,0
9/1/2016,1203.069946,1213.329956,1174.790039,1202.25,1202.25,0
10/1/2016,1202.01001,1202.439941,1171.530029,1177.459961,1177.459961,0
11/1/2016,1177.670044,1229.180054,1154.339966,1220.680054,1220.680054,0
12/1/2016,1220.780029,1263.079956,1214,1241.660034,1241.660034,0
1/1/2017,1241.959961,1277.97998,1241.959961,1265.349976,1265.349976,0
2/1/2017,1267.400024,1316.290039,1261.25,1311.339966,1311.339966,0
3/1/2017,1312.449951,1331.569946,1286.699951,1310.060059,1310.060059,0
4/1/2017,1310.189941,1330.51001,1291.27002,1322.439941,1322.439941,0
5/1/2017,1322.780029,1340.189941,1303.699951,1336.180054,1336.180054,0
6/1/2017,1336.310059,1359.699951,1333.449951,1343.52002,1343.52002,0
7/1/2017,1344.26001,1376.670044,1333.780029,1368.569946,1368.569946,0
8/1/2017,1368.839966,1379.339966,1338.23999,1369.609985,1369.609985,0
9/1/2017,1370.109985,1396.900024,1355.689941,1396.900024,1396.900024,0
10/1/2017,1397.180054,1431.060059,1397.180054,1427.430054,1427.430054,0
11/1/2017,1428.280029,1472.890015,1416.640015,1467.420044,1467.420044,0
12/1/2017,1467.400024,1492.349976,1444.430054,1481.810059,1481.810059,0
1/1/2018,1482.319946,1588.97998,1482.319946,1561.660034,1561.660034,0
2/1/2018,1561.319946,1568.140015,1402.569946,1501.22998,1501.22998,0
3/1/2018,1501.369995,1551.920044,1435.52002,1464.869995,1464.869995,0
4/1/2018,1464.339966,1506.890015,1417.189941,1468.280029,1468.280029,0
5/1/2018,1468.130005,1521.660034,1439.5,1502.310059,1502.310059,0
6/1/2018,1503.51001,1550.800049,1495.069946,1509.959961,1509.959961,0
7/1/2018,1509.089966,1577.969971,1499.719971,1560.359985,1560.359985,0
8/1/2018,1563,1618.670044,1550.719971,1610.699951,1610.699951,0
9/1/2018,1610.880005,1629.72998,1589.650024,1614.540039,1614.540039,0
10/1/2018,1616.609985,1626.579956,1438.76001,1498.650024,1498.650024,0
